bdsk-url-1,year,volume,url,title,pages,number,journal,isbn,id,doi,date-modified,date-added,date,author,Type of product,ID,publisher,bdsk-url-2,note,keywords,eprint,abstract,issn,urldate,month,language,booktitle,volumne,version,editor,edition,copyright,author+an,address,pmid,type
https://doi.org/10.1594/PANGAEA.880687,2017,,https://doi.org/10.1594/PANGAEA.880687,"{Wave models for Eleuthera, Northern Bahamas}",,,,,,10.1594/PANGAEA.880687,,,,Alessio {\textbf{Rovere}} and Elisa {Casella} and Daniel L {\underline{Harris}} and Thomas {\underline{Lorscheid}} and Napayalage A K {Nandasena} and Blake {Dyer} and Michael R {Sandstrom} and Paolo {Stocchi} and William J {D{\textquotesingle}Andrea} and Maureen E {Raymo},dataset,rovere2017wmfe,PANGAEA,,"Supplement to: Rovere, A et al. (2017): Giant boulders and Last Interglacial storm intensity in the North Atlantic. Proceedings of the National Academy of Sciences, 114(46), 12144-12149, https://doi.org/10.1073/pnas.1712433114",,,"As global climate warms and sea level rises, coastal areas will be subject to more frequent extreme flooding and hurricanes. Geologic evidence for extreme coastal storms during past warm periods has the potential to provide fundamental insights into their future intensity. Recent studies argue that during the Last Interglacial (MIS 5e, {\textasciitilde}128-116 ka) tropical and extratropical North Atlantic cyclones may have been more intense than at present, and may have produced waves larger than those observed historically. Such strong swells are inferred to have created a number of geologic features that can be observed today along the coastlines of Bermuda and the Bahamas. In this paper, we investigate the most iconic among these features: massive boulders atop a cliff in North Eleuthera, Bahamas. We combine geologic field surveys, wave models, and boulder transport equations to test the hypothesis that such boulders must have been emplaced by storms of greater-than-historical intensity. By contrast, our results suggest that with the higher relative sea level (RSL) estimated for the Bahamas during MIS 5e, boulders of this size could have been transported by waves generated by storms of historical intensity. Thus, while the megaboulders of Eleuthera cannot be used as geologic proof for past ""superstorms,"" they do show that with rising sea levels, cliffs and coastal barriers will be subject to significantly greater erosional energy, even without changes in storm intensity.",,,,,,,,,,,,,,data set
https://doi.org/10.1126/sciadv.aao4350,2018,4,,Coral reef structural complexity provides important coastal protection from waves under rising sea levels,eaao4350,2,Science Advances,,,10.1126/sciadv.aao4350,,,,"{\underline{Harris}}, D. L. and {\textbf{Rovere}}, A. and Casella, E. and Power, H. and Canavesio, R. and Collin, A. and Pomeroy, A. and Webster, J. M. and Parravicini, V.",article,Harris_coral_2018,,,,,,"Coral reefs are diverse ecosystems that support millions of people worldwide by providing coastal protection from waves. Climate change and human impacts are leading to degraded coral reefs and to rising sea levels, posing concerns for the protection of tropical coastal regions in the near future. We use a wave dissipation model calibrated with empirical wave data to calculate the future increase of back-reef wave height. We show that, in the near future, the structural complexity of coral reefs is more important than sea-level rise in determining the coastal protection provided by coral reefs from average waves. We also show that a significant increase in average wave heights could occur at present sea level if there is sustained degradation of benthic structural complexity. Our results highlight that maintaining the structural complexity of coral reefs is key to ensure coastal protection on tropical coastlines in the future.",2375-2548,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.quascirev.2018.10.025,2018,201,,New relative sea-level insights into the isostatic history of the {Western} {Mediterranean},396--408,,Quaternary Science Reviews,,,10.1016/j.quascirev.2018.10.025,,,,"Vacchi, M. and Ghilardi, M. and Melis, R. T. and Spada, G. and Giaime, M. and Marriner, N. and {\underline{Lorscheid}}, T. and Morhange, C. and Burjachs, F. and {\textbf{Rovere}}, A.",article,vacchi_new_2018,,,Publisher: Elsevier Ltd,,,"A recent suite of Relative Sea-Level (RSL) data for the past 12 ka BP has provided new insights into the sea-level histories of the western Mediterranean region. Our analysis of the chronostratigraphic context of sea-level indicators from Spain (Catalonia, the Balearic Islands and the Gulf of Valencia), France (Corsica Island) and Italy (Sardinia Island) has yielded 162 new sea-level index and limiting points. These data have considerably enhanced previous RSL compilations, in addition to improving the quality of spatio-temporal sea-level reconstructions and our capacity to estimate isostatic-related vertical motions in the western Mediterranean basin. The glacial and hydro-isostatic adjustment (GIA) pattern elucidated by the new database shows discrepancy with respect to those predicted by the available GIA models. In particular, the new results underscore a non-coherent isostatic response of the central portion of the western Mediterranean, with the Balearic Islands manifesting significant departures from the sea-level histories of Corsica, Sardinia and, more generally, along most of the western Mediterranean coast. Our results are a crucial contribution to defining both the pattern and the magnitude of the isostatic signal along the western Mediterranean coast. In fact, vertical isostatic motions represent a key to better assess any possible post-industrial acceleration in sea-level rise and to define future scenarios of coastal inundation in the context of global change.",02773791,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1073/pnas.1800534115,2018,,,"Reply to {Hearty} and {Tormey}: {Use} the scientific method to test geologic hypotheses, because rocks do not whisper",201800534,,Proceedings of the National Academy of Sciences,,,10.1073/pnas.1800534115,,,,"{\textbf{Rovere}}, A. and Casella, E. and {\underline{Harris}}, D. L. and {\underline{Lorscheid}}, T. and Nandasena, N. A. K. and Dyer, B. and Sandstrom, M. R. and Stocchi, P. and D'Andrea, W. J. and Raymo, M. E.",article,Rovere_reply_2018,,,,,,"Hearty and Tormey challenge our conclusions, incorrectly arguing that the megaboulders we discuss were shown to originate from the cliff bottom. A number of mischaracterizations are made by Hearty and Tormey in their letter. First, we do not use a ``tsunami wave model.'' Second, we do not address the two other Bahamian landforms Hearty and Tormey mention: their ``superstorm'' genesis interpretation [for which alternative hypotheses have been proposed] has no bearing on our conclusions.",0027-8424,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1038/s41561-018-0146-0,2018,11,,Palaeoclimate constraints on the impact of 2 C anthropogenic warming and beyond,474--485,7,Nature Geoscience,,,10.1038/s41561-018-0146-0,,,,"Fischer, Hubertus and Meissner, Katrin J and Mix, Alan C and Abram, Nerilie J and Austermann, J. and Brovkin, Victor and Capron, E. and Colombaroli, Daniele and Daniau, Anne Laure and Dyez, Kelsey A and Felis, T. and Finkelstein, Sarah A and Jaccard, Samuel L and McClymont, Erin L and {\textbf{Rovere}}, A. and Sutter, Johannes and Wolff, Eric W and Affolter, St{\'e}phane and Bakker, Pepijn and Ballesteros-C{\'a}novas, Juan Antonio and Barbante, Carlo and Caley, Thibaut and Carlson, Anders E and Churakova, Olga and Cortese, Giuseppe and Cumming, Brian F and Davis, Basil A.S. and De Vernal, Anne and Emile-Geay, Julien and Fritz, Sherilyn C and Gierz, Paul and Gottschalk, Julia and Holloway, Max D and Joos, Fortunat and Kucera, Michal and Loutre, Marie France and Lunt, Daniel J and Marcisz, Katarzyna and Marlon, Jennifer R and Martinez, Philippe and Masson-Delmotte, Valerie and Nehrbass-Ahles, Christoph and Otto-Bliesner, Bette L and Raible, Christoph C and Risebrobakken, Bj{\o}rg and S{\'a}nchez Go{\~n}i, Mari{\'a} F. and Arrigo, Jennifer Saleem and Sarnthein, Michael and Sjolte, Jesper and Stocker, Thomas F and Velasquez Alv{\'a}rez, Patricio A. and Tinner, Willy and Valdes, Paul J and Vogel, Hendrik and Wanner, Heinz and Yan, Qing and Yu, Zicheng and Ziegler, Martin and Zhou, Liping",article,fischer_palaeoclimate_2018,,,ISBN: 4156101460 Publisher: Springer US,,,,17520908,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1080/01431161.2018.1500072,2018,00,,Very high resolution mapping of coral reef state using airborne bathymetric {LiDAR} surface-intensity and drone imagery,1--13,00,International Journal of Remote Sensing,,,10.1080/01431161.2018.1500072,,,,"Collin, A. and Ramambason, C. and Pastol, Y. and Casella, E. and {\textbf{Rovere}}, A. and Thiault, L. and Espiau, B. and Siu, G. and Lerouvreur, F. and Nakamura, N. and Hench, J. L. and Schmitt, R. J. and Holbrook, S. J. and Troyer, M. and Davies, N.",article,collin_very_2018,,,Publisher: Taylor \& Francis,,,"Very high resolution (VHR) airborne data enable detection and physical measurements of individual coral reef colonies. The bathymetric LiDAR system, as an active remote sensing technique, accurately computes the coral reef ecosystem's surface and reflectance using a single green wavelength at the decimetre scale over 1-to-100 km2 areas. A passive multispectral camera mounted on an airborne drone can build a blue-green-red (BGR) orthorectified mosaic at the centimetre scale over 0.01-to-0.1 km2 areas. A combination of these technologies is used for the first time here to map coral reef ecological state at the submeter scale. Airborne drone BGR values (0.03 m pixel size) serve to calibrate airborne bathymetric LiDAR surface and intensity data (0.5 m pixel size). A classification of five ecological states is then mapped through an artificial neural network (ANN). The classification was developed over a small area (0.01 km2) in the lagoon of Moorea Island (French Polynesia) at VHR (0.5 m pixel size) and then extended to the whole lagoon (46.83 km2). The ANN was first calibrated with 275 samples to determine the class of coral state through LiDAR-based predictors; then, the classification was validated through 135 samples, reaching a satisfactory performance (overall accuracy = 0.75).",0143-1161,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.geomorph.2018.05.026,2018,317,,Submerged reef terraces in the {Maldivian} {Archipelago} ({Indian} {Ocean}),218--232,,Geomorphology,,,10.1016/j.geomorph.2018.05.026,,,,"{\textbf{Rovere}}, A. and Khanna, P. and Bianchi, C. N. and Droxler, A. W. and Morri, C. and Naar, D. F.",article,Rovere_submerged_2018,,,Publisher: Elsevier B.V.,"Maldives, Multibeam bathymetry, Scuba diving, Submerged reef terraces",,"Sea-level changes have shaped the world's carbonate platform margins and continental shelves, leaving typical geomorphic imprints, such as drowned reef terraces. In this paper, we present the results of 112 scuba diving transects across seven different Maldivian atolls and one multibeam survey around Mal{\'e} Island, the capital of Maldives. We report on the occurrence of drowned reef terraces down to 120 m depth. In total, we identified six levels of submerged terraces that we consider as indicative of periods of time with stable or slowly rising sea level that can be attributed either to deceleration of the last deglacial sea-level rise or to Late Quaternary sea-level highstands. We compare our dataset to the depth of reef terraces reported globally, and we discuss the reasons why common global submerged terrace levels are difficult to identify in the field record.",0169555X,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1002/aqc.2918,2018,,,The park never born: {Outcome} of a quarter of a century of inaction on the sea-floor integrity of a proposed but not established {Marine} {Protected} {Area},1--20,February,Aquatic Conservation: Marine and Freshwater Ecosystems,,,10.1002/aqc.2918,,,,"Bianchi, C. N. and Cocito, S. and Diviacco, G. and Dondi, N. and Fratangeli, F. and Montefalcone, M. and Parravicini, V. and {\textbf{Rovere}}, A. and Sgorbini, S. and Vacchi, M. and Morri, C.",article,bianchi_park_2018,,,,,,"1. Marine Protected Areas (MPAs) are a major tool to conserve marine ecosystems but are also strongly attractive to tourists, the increased numbers of which can cause environmental issues if not properly managed. 2. Proposing an MPA and then failing to establish it risks advertising the beauty of a marine area without managing the unavoidable increase in tourism. This is what happened at Gallinara Island (Ligurian Sea, north-western Mediterranean), where an MPA was proposed in 1990 but has not yet been established. 3. Benthic data collected soon after the proposal (1990--92) have been compared with similar information obtained in subsequent periods (2009 and 2016): change has been assessed both visually and statistically, using multivariate and univariate techniques. 4. The Gallinara sea floor supported five epibenthic communities in 1991, four of which corresponded to European Nature Information System (EUNIS) habitats; the fifth epibenthic community, characterized by the erect sponge Axinella polypoides, should be included in the next revision of EUNIS. 5. In the 25 years since the original MPA proposal, all epibenthic communities have exhibited a reduction in their three-dimensional structure and biotic homogenization, and severe decreases in species diversity, and the sea floor has been littered with derelict fishing gear and other waste from boats. 6. In absence of the MPA, proposals to develop a management plan for a marine Site of Community Importance (SCI) have been provided, to reduce sea-based human pressures. The dramatic alteration of Gallinara sea floor after 25 years of negligence and inaction is a sad warning for other unmanaged yet beautiful natural areas within urbanized regions of the world.",10527613,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.quascirev.2018.01.004,2018,185,,{MIS} 5e relative sea-level changes in the {Mediterranean} {Sea}: {Contribution} of isostatic disequilibrium,122--134,,Quaternary Science Reviews,,,10.1016/j.quascirev.2018.01.004,,,,"Stocchi, P. and Vacchi, M. and {\underline{Lorscheid}}, T. and de Boer, B. and Simms, A. R. and van de Wal, R. S. W. and V., B. L. A. and Pappalardo, M. and {\textbf{Rovere}}, A.",article,stocchi_mis_2018,,,Publisher: Elsevier Ltd,"Geomorphology, Coastal, Mediterranean Sea, Pleistocene, Sea level changes",,"Sea-level indicators dated to the Last Interglacial, or Marine Isotope Stage (MIS) 5e, have a twofold value. First, they can be used to constrain the melting of Greenland and Antarctic Ice Sheets in response to global warming scenarios. Second, they can be used to calculate the vertical crustal rates at active margins. For both applications, the contribution of glacio- and hydro-isostatic adjustment (GIA) to vertical displacement of sea-level indicators must be calculated. In this paper, we re-assess MIS 5e sea-level indicators at 11 Mediterranean sites that have been generally considered tectonically stable or affected by mild tectonics. These are found within a range of elevations of 2--10 m above modern mean sea level. Four sites are characterized by two separate sea-level stands, which suggest a two-step sea-level highstand during MIS 5e. Comparing field data with numerical modeling we show that (i) GIA is an important contributor to the spatial and temporal variability of the sea-level highstand during MIS 5e, (ii) the isostatic imbalance from the melting of the MIS 6 ice sheet can produce a {\textbackslash}textgreater2.0 m sea-level highstand, and (iii) a two-step melting phase for the Greenland and Antarctic Ice Sheets reduces the differences between observations and predictions. Our results show that assumptions of tectonic stability on the basis of the MIS 5e records carry intrinsically large uncertainties, stemming either from uncertainties in field data and GIA models. The latter are propagated to either Holocene or Pleistocene sea-level reconstructions if tectonic rates are considered linear through time.",02773791,,,,,,,,,All rights reserved,,,,
https://doi.org/10.5281/zenodo.3580721,2019,,https://doi.org/10.5281/zenodo.3580721,{MATLAB tools for the analysis of drone-derived Digital Elevation models},,,,,,10.5281/zenodo.3580721,,,,"{\textbf{Rovere}}, Alessio",dataset,rovere_alessio_2019_3580721,Zenodo,,,,,,,,November,,,,v.1.1,,,,,,,
https://doi.org/10.1594/PANGAEA.910120,2019,,https://doi.org/10.1594/PANGAEA.910120,"{Elevation measurements, sea level interpretations and dating details for South Africa Pliocene sites}",,,,,,10.1594/PANGAEA.910120,,,,Paul J {Hearty} and Alessio {\textbf{Rovere}} and Michael R {Sandstrom} and Michael J {O{\textquotesingle}Leary} and David {Roberts} and Maureen E {Raymo},dataset,hearty2019emsl,PANGAEA,,,,,"This spreadsheet contains details on elevation measurements (surveyed with Differential GPS), sea level interpretations and strontium isotope stratigraphy dating described in the manuscript ""Pliocene-Pleistocene stratigraphy and sea-level estimates, Republic of South Africa (RSA)"" by Hearty et al. (2020), Paleoceanography and Paleoclimatology.",,,,,,,,,,,,,,data set
https://doi.org/10.1016/j.dib.2019.104600,2019,27,,Relative sea-level data from the {SEAMIS} database compared to {ICE}-{5G} model predictions of glacial isostatic adjustment,1--15,,Data in Brief,,,10.1016/j.dib.2019.104600,,,,"Mann, T. and {\underline{Bender}}, M. and {\underline{Lorscheid}}, T. and Stocchi, P. and Vacchi, M. and Switzer, A. and {\textbf{Rovere}}, A.",article,mann_relative_2019,,,Publisher: Elsevier Ltd,glacial isostatic adjustment,,"The SEAMIS database (Mendeley data repository; https://doi.org/10.17632/wp4ctb4667.1) contains 546 relative sea-level indicators from 31 different studies within the broader Southeast Asian region including the Maldives, India and Sri Lanka. Here we compare quality-controlled and site-specific relative sea-level data from 23 studies from the SEAMIS database to a suite of ICE-5G glacial isostatic adjustment models. The relation between robust and, if applicable, tectonically corrected relative sea-level data with the broad predictions of glacial isostatic adjustment models is interpreted and discussed in the article ``Holocene sea levels in Southeast Asia, Maldives, India and Sri Lanka: The SEAMIS database'' [1] in Quaternary Science Reviews.",23523409,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1186/s40965-019-0069-8,2019,4,,The indicative meaning calculator -- quantification of paleo sea-level relationships by using global wave and tide datasets,1--8,1,"Open Geospatial Data, Software and Standards",,,10.1186/s40965-019-0069-8,,,,"{\underline{Lorscheid}}, T. and {\textbf{Rovere}}, A.",article,Lorscheid_indicative_2019,,,,,,"The study of past sea levels relies largely on the interpretation and quantification of sea-level indicators. These are fossil coastal landforms, bioconstructions or deposits that have a quantifiable relation to paleo sea level (called the indicative meaning) and can be assigned an age of formation. The calculation of the indicative meaning should always rely on the quantitative comparison between the paleo sea-level indicator and the elevational range of the same feature in the modern environment with respect to modern sea level. This may prove difficult to quantify when no site-specific data is available, for example when compiling databases with large geographic scope. In this paper, we provide a method to quantify the indicative meaning of sea-level indicators using simple hydro- and morphodynamic equations with inputs from global wave and tide datasets. We apply and compare our approach exemplary to data published in a relative sea-level database on the Marine Isotope Stage 5e highstand and show how this approach can help in estimating the indicative meaning if no site-specific data on the modern analog is available. For the easier usability of the described approach in this paper, we also present a stand-alone Java-app (IMCalc), which can be used as a calculator of the indicative meaning.",2363-7501,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.quascirev.2019.06.030,2019,219,,"Challenges and research priorities to understand interactions between climate, ice sheets and global mean sea level during past interglacials",308--311,,Quaternary Science Reviews,,,10.1016/j.quascirev.2019.06.030,,,,"Capron, E. and {\textbf{Rovere}}, A. and Austermann, J. and Axford, Y. and Barlow, N. L. M. and Carlson, A. E. and de Vernal, A. and Dutton, A. and Kopp, R. E. and McManus, J. F. and Menviel, L. and Otto-Bliesner, B. L. and Robinson, A. and Shakun, J. D. and Tzedakis, P. C. and Wolff, E. W.",article,capron_challenges_2019,,,Publisher: Elsevier Ltd,,,"Quaternary interglacials provide key observations of the Earth system's responses to orbital and greenhouse gas forcing. They also inform on the capabilities of Earth system models, used for projecting the polar ice-sheet and sea-level responses to a regional warmth comparable to that expected by 2100 C.E. However, a number of uncertainties remain regarding the processes and feedbacks linking climate, ice-sheet and sea-level changes during past warm intervals. Here, we delineate the major research questions that need to be resolved and future research directions that should be taken by the paleoclimate, sea-level and ice-sheet research communities in order to increase confidence in the use of past interglacial climate, ice-sheet and sea-level reconstructions to constrain future predictions. These questions were formulated during a joint workshop held by the PAGES-INQUA PALSEA (PALeo constraints on SEA level rise) and the PAGES-PMIP QUIGS (QUaternary InterGlacialS) Working Groups in September 2018.",02773791,,,,,,,,,All rights reserved,,,,
https://doi.org/10.22498/pages.27.1.26,2019,27,,Storms and extreme events: {Insights} from the historical and paleo record,2017--2018,1,Past Global Changes Magazine,,,10.22498/pages.27.1.26,2024-02-21 15:52:23 +0100,,,"Engelhart, S. E. and Pilarczyk, J. E. and {\textbf{Rovere}}, A.",periodical,engelhart_storms_2019,,,,,,Past land-falling coastal storms have left geological imprints. Studying them can help gauge the intensity/frequency of extreme storm events beyond the instrumental and historical record and provide insights on the severity of storms under warmer climates.,2411605X,,,,,,,,,All rights reserved,,,,
https://doi.org/10.22498/pages.27.1.10,2019,27,,Sea-level databases,10--11,1,Past Global Changes Magazine,,,10.22498/pages.27.1.10,2024-02-21 15:52:39 +0100,,,"Khan, N. S. and Hibbert, F. and {\textbf{Rovere}}, A.",periodical,khan_sea-level_2019,,,,,,"The study of past sea levels relies on the availability of standardized sea-level reconstructions, which allow for broad comparison of records from disparate locations to unravel spatial patterns and rates of sea-level change at different timescales. Subsequently, hypotheses about their driving mechanisms can be formulated and tested.",,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.quascirev.2019.07.016,2019,220,,Inception of a global atlas of sea levels since the {Last} {Glacial} {Maximum},359--371,,Quaternary Science Reviews,,,10.1016/j.quascirev.2019.07.016,,,,"Khan, N. S. and Horton, B. P. and Engelhart, S. and {\textbf{Rovere}}, A. and Vacchi, M. and Ashe, E. L. and T{\""o}rnqvist, T. E. and Dutton, A. and Hijma, M. P. and Shennan, I.",article,khan_inception_2019,,,,,,"Determining the rates, mechanisms, and geographic variability of relative sea-level (RSL) change following the Last Glacial Maximum (LGM) provides insight into the sensitivity of ice sheets to climate change, the response of the solid Earth and gravity field to ice-mass redistribution, and constrains statistical and physical models used to project future sea-level rise. To do so in a scientifically robust way requires standardized datasets that enable broad spatial comparisons that minimize bias. As part of a larger goal to develop a unified, spatially-comprehensive post-LGM global RSL database, in this special issue we provide a standardized global synthesis of regional RSL data that resulted from the first `Geographic variability of HOLocene relative SEA level (HOLSEA)' meetings in Mt Hood, Oregon (2016) and St Lucia, South Africa (2017). The HOLSEA meetings brought together sea-level researchers to agree upon a consistent protocol to standardize, interpret, and incorporate realistic uncertainties of RSL data. This special issue provides RSL data from ten geographical regions including new databases from Atlantic Europe and the Russian Arctic and revised/expanded databases from Atlantic Canada, the British Isles, the Netherlands, the western Mediterranean, the Adriatic, Israel, Peninsular Malaysia, Southeast Asia, and the Indian Ocean. In total, the database derived from this special issue includes 5634 (5290 validated) index (n = 3202) and limiting points (n = 2088) that span from ∼20,000 years ago to present. Progress in improving the standardization of sea-level databases has also been accompanied by advancements in statistical and analytical methods used to infer spatial patterns and rates of RSL change from geological data that have a spatially and temporally sparse distribution and geochronological and elevational uncertainties. This special issue marks the inception of a unified, spatially-comprehensive post-LGM global RSL database.",02773791,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.quascirev.2019.07.007,2019,219,,"Holocene sea levels in {Southeast} {Asia}, {Maldives}, {India} and {Sri} {Lanka}: {The} {SEAMIS} database",112--125,,Quaternary Science Reviews,,,10.1016/j.quascirev.2019.07.007,,,,"Mann, T. and {\underline{Bender}}, M. and {\underline{Lorscheid}}, T. and Stocchi, P. and Vacchi, M. and Switzer, A. D. and {\textbf{Rovere}}, A.",article,mann_holocene_2019,,,Publisher: Elsevier Ltd,glacial isostatic adjustment,,"We assembled a database of Holocene relative sea-level index points (n = 213) and marine (n = 211) and terrestrial (n = 122) limiting points for the broader South and Southeast Asian region including the Maldives, India and Sri Lanka. The standardized review of published age-elevation information from corals, deltaic, estuarine and mangrove deposits, beachrocks and tidal notches, yielded a new suite of relative sea-level index and limiting points produced according to a standardized protocol. Expected spatial variability in Holocene relative sea-level change due to glacial isostatic adjustment was accounted for, by first subdividing the study area into ten geographic sub-regions from the Central Indian Ocean to the Western Tropical Pacific, and second by comparing sub-regional relative sea-level data to model predictions of glacial isostatic adjustment. Results show that some of the regionally constrained relative sea-level data are characterized by significant inconsistencies that cannot be explained by glacial isostatic adjustment. Such inconsistencies of standardized relative sea-level data become particularly obvious in areas around the Red River Delta in Vietnam, the Gulf of Thailand, the northwest coast of Malaysia and the Spermonde Archipelago in Indonesia. Based on a critical evaluation of the reviewed relative sea-level indicators, we discuss possible sources of local divergence and identify regions where data are currently insufficient to constrain glacial isostatic adjustment predictions. The remaining quality-controlled and consistent relative sea-level data show that glacial isostatic adjustment and syn-/post-formational influences such as tectonic uplift, subsidence and compaction were the dominant local drivers of Holocene relative sea-level change. Collectively, the results of this review suggest that Holocene sea levels in South and Southeast Asia and surrounding regions have been controlled by a variety of global and local drivers and imply that additional index points from the Java Sea in Indonesia would be valuable to better assess the spatial variability, and to calibrate geophysical models of glacial isostatic adjustment.",02773791,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.biocon.2019.108282,2019,239,,Habitat mapping of remote coasts: {Evaluating} the usefulness of lightweight unmanned aerial vehicles for conservation and monitoring,108282,November,Biological Conservation,,,10.1016/j.biocon.2019.108282,,,,"Castellanos-Galindo, G. A. and Casella, E. and Mej{\'\i}a-Renter{\'\i}a, J. C. and {\textbf{Rovere}}, A.",article,castellanos-galindo_habitat_2019,,,Publisher: Elsevier,"Coastal monitoring, Colombia, Coral reef mapping, Drones, Intertidal topographical complexity, Mangrove cover, MPAs, Tropical eastern pacific",,"Unmanned aerial vehicles (UAVs) have the potential to be an important tool providing low-cost but sufficiently precise mapping products to support environmental management. In this study, we present possible applications of UAVs to map and monitor three representative coastal tropical habitats: mangroves, rocky shores and coral reefs. We conducted UAVs surveys in a Marine Protected Area (MPA) of the tropical eastern Pacific region to investigate the suitability and usefulness of using this tool in a remote area for a variety of management and monitoring purposes. For mangrove ecosystems, we evaluated the potential of UAV-derived data to estimate canopy cover. On an intertidal rocky shore, we evaluated the potential of UAVs to obtain a detailed relative topographic position index that can be used to correlate the distribution patterns of resident and transient fauna. Finally, we compared the standard diver-based coral reef mapping approach used at the MPA with the use of a map produced with the UAV. Our results suggest that the use of UAVs by conservation practitioners in MPAs with diverse habitats, such as in the tropics, is likely to improve the knowledge of the MPAs environments and provide highly detailed information for monitoring helping to understand the nursery function of these inter-connected tropical habitats, at a reduced cost. This tool, therefore, has the potential to support conservation measures in a more effective way.",00063207,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.margeo.2020.106265,2020,427,,Driving mechanisms of {Holocene} coastal evolution of the {Bonifacio} {Strait} ({Western} {Mediterranean}),106265,May,Marine Geology,,,10.1016/j.margeo.2020.106265,,,,"Vacchi, M. and Ghilardi, M. and Stocchi, P. and Furlani, S. and Rossi, V. and Buosi, C. and {\textbf{Rovere}}, A. and De Muro, S.",article,vacchi_driving_2020,,,Publisher: Elsevier,,,"We produced a new suite of sea-level data which allowed assessing the Holocene evolution of the Bonifacio Strait, a key coastal sector of the Mediterranean Sea which experienced significant morphological changes since the Last Glacial Maximum. Squeezed between Corsica and Sardinia islands, this strait connects the two major basins of the western Mediterranean. Due to its peculiar geographic and morphological setting, the Bonifacio Strait is affected by extreme meteomarine conditions characterized by severe winds, waves, and currents. The millennial sea-level changes were reconstructed through multiproxy investigations made of sediment coring and underwater beachrock sampling carried out on both sides of the strait. These data provided fresh insights into the timing of the progressive opening of the Bonifacio Strait which followed the Last Glacial Maximum when Corsica and Sardinia were connected forming the largest Mediterranean island. Major palaeogeographic changes occurred before 7 ka BP. Since that period, the significant decrease of the northern ice-sheet melting triggered a significant sea-level stabilization which induced only minor modifications in the palaeogeography of the strait. In the late Holocene, the isostatic-related subsidence became the dominant factor controlling the sea-level changes which rose with rates ≤0.35 mm a−1 in the last four millennia. Our data have also an important archaeological implication because they indicate that the Bonifacio Strait has not represented a significant geographical barrier along the early Neolithic migration path which connected mainland Italy to northern Corsica and finally to Sardinia. This further confirms the ability of early Neolithic communities to navigate not also across large sea stretches but also maritime areas characterized by extremely complex meteomarine conditions.",00253227,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1594/PANGAEA.911690,2020,,https://doi.org/10.1594/PANGAEA.911690,"{UAV derived orthomosaics of a rocky intertidal area, a coral reef area and a mangrove area in the Pacific coast of Colombia, eastern Pacific Ocean}",,,,,,10.1594/PANGAEA.911690,,,,Gustavo Adolfo {Castellanos-Galindo} and Elisa {Casella} and Juan Carlos {Mej\'{\i}a-Renter\'{\i}a} and Alessio {\textbf{Rovere}},dataset,castellanosgalindo2020udoo,PANGAEA,,,,,"Dataset includes:\\
a) an orthomosaic (GeoTIFF) of a coral reef site (La Chola) in a protected area (Utr\'{\i}a National Park) of the Pacific coast of Colombia in the tropical eastern Pacific region. The orthomosaic was constructed using 110 RGB pictures collected with an UAV (DJI Phantom 4) flying at an altitude of 100 m. \\
b) an orthomosaic (GeoTIFF) of an intertidal rocky shore site (Punta Diego) in a protected area (Utr\'{\i}a National Park) of the Pacific coast of Colombia in the tropical eastern Pacific region. The orthomosaic was constructed using 312 RGB pictures collected with an UAV (DJI Phantom 4) flying at an altitude of 60 m.\\
c) an orthomosaic (GeoTIFF) of a mangrove site (La Chunga) in a protected area (Utr\'{\i}a National Park) of the Pacific coast of Colombia in the tropical eastern Pacific region. The orthomosaic was constructed using 98 RGB pictures collected with an UAV (DJI Phantom 4) flying at an altitude of 100 m.",,,,,,,,,,,,,,data set
